97
9974 1 21 5 
9972 3 19 13 
9682 1 20 11 
9676 0 21 4 
9635 3 13 4 
9630 2 4 4 
9523 3 0 4 
9423 1 15 16 
9187 1 19 11 
9069 3 20 13 
9034 1 16 1 
8823 3 4 0 
8689 3 15 6 
8531 0 11 1 
8253 0 2 5 
8253 3 10 2 
8247 1 16 7 
8145 3 18 1 
8141 0 7 0 
8107 2 2 7 
7691 3 21 13 
7660 2 13 15 
7588 3 0 4 
7542 2 6 0 
7453 3 20 14 
7419 0 17 1 
7313 1 11 1 
7126 0 14 1 
7077 2 20 6 
7061 1 4 9 
7015 3 20 14 
6853 0 3 1 
6845 3 14 3 
6810 2 17 16 
6591 3 15 1 
6567 1 20 13 
6560 0 2 15 
6417 2 4 3 
6237 0 0 13 
6237 2 17 0 
6075 0 8 0 
6003 0 4 16 
5998 3 21 11 
5813 2 18 1 
5755 1 8 1 
5645 0 14 0 
5593 3 6 15 
5541 1 4 1 
5528 2 14 16 
5255 1 0 5 
5243 2 5 0 
5133 1 20 12 
5039 2 0 11 
5008 1 3 2 
4759 3 19 2 
4648 3 10 0 
4615 1 16 16 
4454 3 3 1 
4287 0 8 16 
4236 3 19 2 
3795 0 11 1 
3668 1 21 4 
3656 0 3 1 
3564 3 13 0 
3561 2 17 16 
3172 3 4 0 
3162 2 10 5 
3054 2 14 16 
2935 3 21 13 
2767 3 3 16 
2615 2 11 0 
2514 2 18 16 
2401 3 0 9 
2351 3 13 0 
2245 1 0 6 
2089 1 8 0 
2071 3 0 4 
1908 3 21 4 
1881 0 4 1 
1863 1 18 13 
1771 1 0 11 
1716 1 14 0 
1711 2 17 15 
1561 3 1 12 
1417 1 4 1 
1354 3 17 0 
1069 3 3 15 
837 3 13 0 
790 3 1 14 
725 1 14 0 
679 3 5 0 
606 1 4 16 
327 3 21 4 
285 1 11 1 
214 1 3 15 
182 3 13 15 
20 2 19 2 
